CountyFIPS,Length,CountyFIPS_Final,% below 18 years of age raw value,State FIPS Code,Diabetes prevalence raw value,Unemployment raw value,% rural raw value,Adult obesity raw value,Adult smoking raw value,Frequent mental distress raw value,High school completion raw value,Life_Expectancy_3Cat,Life_Expectancy_2Cat,Median household income raw value,Physical inactivity raw value,Population raw value,Uninsured raw value,Cat_Unemploy,Cat_pop,Cat_Income,Life expectancy raw value
1000,4,01000,0.220923688,1,0.122,0.0587700638,0.409631829,0.363,0.21092716,0.1828465548,0.8687361805,Low,Low,53958,0.308,4921532,0.1159953796,Low Unemployment,V Large,50-60k,74.83594896
1005,4,01005,0.2047256903,1,0.165,0.0704553395,0.677896347,0.404,0.278,0.205,0.7473169635,Low,Low,38866,0.416,24589,0.1299147324,High Unemployment,Small-Medium,<50k,72.867210115
1007,4,01007,0.1999457897,1,0.127,0.0663194444,0.6835260746,0.412,0.252,0.191,0.8088446863,Low,Low,50907,0.377,22136,0.1099324976,High Unemployment,Small-Medium,50-60k,73.609363092
1009,4,01009,0.2280274365,1,0.114,0.0408742549,0.8995150204,0.387,0.222,0.183,0.8282513689,Low,Low,55203,0.333,57879,0.1427102744,Low Unemployment,Large,50-60k,74.1714626
1011,4,01011,0.2081996792,1,0.178,0.0550020756,0.5137438153,0.438,0.252,0.189,0.7494103774,Low,Low,33124,0.413,9976,0.11099631,Low Unemployment,Small-Medium,<50k,73.81468226
1013,4,01013,0.2205701395,1,0.151,0.0884496466,0.7123215735,0.397,0.246,0.196,0.8635311143,Low,Low,42268,0.407,19504,0.115727003,High Unemployment,Small-Medium,<50k,73.473279047
1015,4,01015,0.2140055874,1,0.127,0.0705017301,0.3369682556,0.359,0.226,0.191,0.8507351172,Low,Low,50259,0.326,113469,0.1190381426,High Unemployment,Large,50-60k,72.825007074
1017,4,01017,0.2052943861,1,0.139,0.0679483139,0.4914803449,0.395,0.236,0.19,0.8258382062,Low,Low,39318,0.369,32865,0.1216412769,High Unemployment,Large,<50k,73.761104989
1019,4,01019,0.1848710732,1,0.114,0.0460349171,0.8573627304,0.343,0.247,0.198,0.8282400878,Low,Low,50388,0.36,26294,0.1298178525,Low Unemployment,Large,50-60k,74.014400904
1021,4,01021,0.2376511926,1,0.123,0.049714169,0.8674472424,0.392,0.239,0.19,0.8180943853,Low,Low,52693,0.353,44397,0.1373309139,Low Unemployment,Large,50-60k,74.391084705
